Outcome,effect,term,estimate,std.error,statistic,conf.low,conf.high
Weight,fixed,(Intercept),124.93129755754707,1.539053408001411,81.17411449663774,121.91480830758067,127.94778680751347
Weight,fixed,followup_period0–1m,-10.794189071413388,0.8283942086266181,-13.03025656022983,-12.417811885323118,-9.170566257503658
Weight,fixed,followup_period1–6m,-20.15485192565119,0.4562019157917401,-44.17967401709038,-21.048991250281176,-19.260712601021204
Weight,fixed,followup_period6–12m,-35.20802934135383,0.5604970181815101,-62.81572996692043,-36.30658331043168,-34.10947537227598
Weight,fixed,followup_period12–24m,-39.01087878017604,0.719851911461908,-54.19292240393025,-40.4217626008437,-37.599994959508386
Weight,fixed,followup_period>24m,-31.712790498842082,0.8597357128217459,-36.88667345777374,-33.39784153219558,-30.02773946548859
Weight,fixed,SurgeryTypeNameOAGB,0.7615909696246493,0.85972294926474,0.8858562752989019,-0.9234350476167968,2.4466169868660956
Weight,fixed,SurgeryTypeNameRYGB,0.005245387648861921,1.3199923503960589,0.003973801550659033,-2.5818920789957884,2.592382854293512
Weight,fixed,Age,-0.2715008188368009,0.03536543828073021,-7.677009872792535,-0.3408158041645062,-0.20218583350909558
Weight,fixed,SexMale,23.25559179829836,0.8641801937251717,26.910581805921545,21.56182974244418,24.949353854152545
Weight,fixed,T2DM_FBSYes,-1.0370867569053361,0.9795788501585502,-1.0587067664205674,-2.9570260232332526,0.8828525094225801
Weight,fixed,HTN_FBSYes,1.1168517095039687,0.9539773704235315,1.1707318686271635,-0.7529095785923787,2.986612997600316
Weight,fixed,Hypothyroidism_FBSYes,1.2454978478183363,0.883971225253614,1.408980080161545,-0.48705391704849044,2.978049612685163
Weight,fixed,followup_period0–1m:SurgeryTypeNameOAGB,1.3946229461675932,0.9785476210017683,1.425196808245138,-0.5232951481532229,3.3125410404884095
Weight,fixed,followup_period1–6m:SurgeryTypeNameOAGB,0.9591995130158605,0.5425133831441226,1.76806608429979,-0.10410717907759881,2.0225062051093197
Weight,fixed,followup_period6–12m:SurgeryTypeNameOAGB,-0.4251196886581825,0.662171175013082,-0.6420087504560792,-1.722951343284392,0.8727119659680269
Weight,fixed,followup_period12–24m:SurgeryTypeNameOAGB,-3.887593180368541,0.8480723455661718,-4.584034841712931,-5.549784433962644,-2.2254019267744374
Weight,fixed,followup_period>24m:SurgeryTypeNameOAGB,-8.48551044488842,0.9864170292731367,-8.602355994544375,-10.418852296000761,-6.552168593776081
Weight,fixed,followup_period0–1m:SurgeryTypeNameRYGB,1.1031531306562439,1.323437050680246,0.833551645005876,-1.490735824482948,3.697042085795436
Weight,fixed,followup_period1–6m:SurgeryTypeNameRYGB,0.2851654027399814,0.847567425439618,0.33645158388675833,-1.376036225591007,1.94636703107097
Weight,fixed,followup_period6–12m:SurgeryTypeNameRYGB,0.9449152090881374,0.9499223314148827,0.9947289139741695,-0.9168983485953535,2.806728766771628
Weight,fixed,followup_period12–24m:SurgeryTypeNameRYGB,-1.5257841245585415,1.146704564889218,-1.33058171326452,-3.7732837726490818,0.7217155235319987
Weight,fixed,followup_period>24m:SurgeryTypeNameRYGB,-3.4044904224799146,1.2786882989369879,-2.662486569487005,-5.910673435849196,-0.8983074091106329
BMI,fixed,(Intercept),43.22335791531027,0.5029419055054422,85.94105490548066,42.23760989420365,44.20910593641688
BMI,fixed,followup_period0–1m,-3.794403550487407,0.2999853689132451,-12.648628712238088,-4.382364069446329,-3.2064430315284853
BMI,fixed,followup_period1–6m,-7.241701252128669,0.16536989254015086,-43.79092917636398,-7.565820285634624,-6.917582218622714
BMI,fixed,followup_period6–12m,-12.822881848686364,0.20308009752478945,-63.14199178046539,-13.220911525811834,-12.424852171560895
BMI,fixed,followup_period12–24m,-14.376156016791123,0.26073277703130465,-55.13750967744674,-14.887182869361592,-13.865129164220654
BMI,fixed,followup_period>24m,-11.574709885982884,0.31133554614592773,-37.177604771662146,-12.18491634353601,-10.964503428429758
BMI,fixed,SurgeryTypeNameOAGB,0.4150224018395104,0.28472644179786816,1.4576180533810112,-0.1430311695305509,0.9730759732095717
BMI,fixed,SurgeryTypeNameRYGB,0.07188754651460108,0.43715080248603705,0.164445646915854,-0.7849122821708141,0.9286873752000162
BMI,fixed,Age,0.012633605559517456,0.011510225780198098,1.097598413860134,-0.009926022423595256,0.03519323354263017
BMI,fixed,SexMale,1.3496564892679905,0.28139930761495696,4.796232445300634,0.7981239810681673,1.9011889974678138
BMI,fixed,T2DM_FBSYes,-0.45724333717842736,0.3187680287340503,-1.434407769795219,-1.0820171929199949,0.16753051856314016
BMI,fixed,HTN_FBSYes,0.4384371410475954,0.31039392205078326,1.4125184480122104,-0.16992376719207253,1.0467980492872633
BMI,fixed,Hypothyroidism_FBSYes,0.504319116736925,0.2877083660486756,1.752883044949768,-0.05957891876934551,1.0682171522431956
BMI,fixed,followup_period0–1m:SurgeryTypeNameOAGB,0.36238807118574434,0.35437992123736983,1.0225976401834869,-0.3321838112836414,1.05695995365513
BMI,fixed,followup_period1–6m:SurgeryTypeNameOAGB,0.17961351664644482,0.19666337717249063,0.9133043438428721,-0.20583961968965336,0.565066652982543
BMI,fixed,followup_period6–12m:SurgeryTypeNameOAGB,-0.37517941995467957,0.23992448989242726,-1.5637395754093104,-0.8454227791529811,0.095063939243622
BMI,fixed,followup_period12–24m:SurgeryTypeNameOAGB,-1.6113146256612698,0.30717612807928035,-5.245572420410869,-2.213368773607122,-1.0092604777154177
BMI,fixed,followup_period>24m:SurgeryTypeNameOAGB,-3.3395161147974775,0.3572002865431441,-9.349141757740771,-4.039615811689427,-2.6394164179055277
BMI,fixed,followup_period0–1m:SurgeryTypeNameRYGB,0.1304588451116671,0.47950810566018276,0.2720680705325147,-0.8093597722773178,1.070277462500652
