Followup,Outcome,Contrast,Estimate,SE,df,Lower,Upper,P_adjusted,Significant
0–1m,PMM,SG - OAGB,-0.5994964326740226,0.334545210155639,Inf,-1.3983027059007103,0.19930984055266499,0.20375534546232743,FALSE
0–1m,PMM,SG - RYGB,-1.0588341836633797,0.45195448713483116,Inf,-2.137983035826876,0.02031466850011654,0.05632852218623763,FALSE
0–1m,PMM,OAGB - RYGB,-0.45933775098935703,0.3946108568293027,Inf,-1.4015650444901606,0.48288954251144656,0.5686265462950957,FALSE
0–1m,FFM,SG - OAGB,-0.6183664912682003,0.3507556526899503,Inf,-1.4558790523002472,0.21914606976384665,0.2159880354240089,FALSE
0–1m,FFM,SG - RYGB,-1.109048776594479,0.47386014076978444,Inf,-2.2405025878832037,0.022405034694245707,0.05667491144623593,FALSE
0–1m,FFM,OAGB - RYGB,-0.49068228532627867,0.41373937252530274,Inf,-1.4785834604778505,0.49721888982529305,0.5534156403825146,FALSE
0–1m,SMMI,SG - OAGB,-0.1133501351021081,0.06452499840739255,Inf,-0.2674189184626234,0.04071864825840717,0.21869729458770892,FALSE
0–1m,SMMI,SG - RYGB,-0.16028730552442919,0.0871999470643301,Inf,-0.36849792288049976,0.04792331183164139,0.185321777319157,FALSE
0–1m,SMMI,OAGB - RYGB,-0.04693717042232108,0.07614692455429369,Inf,-0.22875606716453117,0.13488172631988898,0.9011509687023709,FALSE
0–1m,ASM,SG - OAGB,-0.3904132252467119,0.1930099063774871,Inf,-0.851270291284229,0.07044384079080523,0.12380071319855013,FALSE
0–1m,ASM,SG - RYGB,-0.5892022578991966,0.26078796909149377,Inf,-1.2118955721912092,0.03349105639281613,0.06989648037290763,FALSE
0–1m,ASM,OAGB - RYGB,-0.19878903265248465,0.2277142892364757,Inf,-0.74251106848982,0.3449330031848506,0.7647450550392021,FALSE
1–6m,PMM,SG - OAGB,-0.7529504956866148,0.18505467671018147,Inf,-1.1948125584471565,-0.311088432926073,1.4176087594319764e-4,TRUE
1–6m,PMM,SG - RYGB,-1.341936577472592,0.2891279925635062,Inf,-2.032298439529205,-0.651574715415979,1.038549815501888e-5,TRUE
1–6m,PMM,OAGB - RYGB,-0.5889860817859772,0.2634412796230874,Inf,-1.2180148061604399,0.040042642588485555,0.07419210773840723,FALSE
1–6m,FFM,SG - OAGB,-0.8080841999922591,0.194026601356218,Inf,-1.2713688671500867,-0.34479953283443154,9.348010424492514e-5,TRUE
1–6m,FFM,SG - RYGB,-1.4391609406576538,0.30314545489227535,Inf,-2.1629928285972566,-0.7153290527180508,6.18060625490191e-6,TRUE
1–6m,FFM,OAGB - RYGB,-0.6310767406653947,0.2762135612395991,Inf,-1.2906023257599406,0.0284488444291513,0.06549938898672047,FALSE
1–6m,SMMI,SG - OAGB,-0.123622231778895,0.035716922737042425,Inf,-0.2089048814077123,-0.038339582150077725,0.0016126499391161397,TRUE
1–6m,SMMI,SG - RYGB,-0.10769728167542889,0.05580283830621023,Inf,-0.24093983290525373,0.025545269554395955,0.15236658738693798,FALSE
1–6m,SMMI,OAGB - RYGB,0.015924950103466118,0.05084595379536152,Inf,-0.10548186017797075,0.13733176038490297,0.9851364274612157,FALSE
1–6m,ASM,SG - OAGB,-0.4110858149002022,0.10679787983952292,Inf,-0.6660911588518676,-0.15608047094853678,3.5547847442651825e-4,TRUE
1–6m,ASM,SG - RYGB,-0.5229324402007988,0.16685881349316126,Inf,-0.921347550970103,-0.12451732943149446,0.005164634502242471,TRUE
1–6m,ASM,OAGB - RYGB,-0.11184662530059658,0.152035788240049,Inf,-0.4748682370720373,0.25117498647084413,0.8442250499187482,FALSE
6–12m,PMM,SG - OAGB,-0.8904593934909064,0.22611210633194015,Inf,-1.4303558365050648,-0.3505629504767479,2.4633469686607956e-4,TRUE
6–12m,PMM,SG - RYGB,-1.5466484878695737,0.3242922751100899,Inf,-2.3209734396343276,-0.7723235361048197,5.545891347602527e-6,TRUE
6–12m,PMM,OAGB - RYGB,-0.6561890943786672,0.28813214119898833,Inf,-1.3441731244023298,0.03179493564499525,0.0667462761237615,FALSE
6–12m,FFM,SG - OAGB,-0.9457342344309203,0.2370717567880771,Inf,-1.5117994500682501,-0.3796690187935906,1.988495277346347e-4,TRUE
6–12m,FFM,SG - RYGB,-1.6540889892735438,0.34001164220545016,Inf,-2.465947669412664,-0.8422303091344238,3.437156141483655e-6,TRUE
6–12m,FFM,OAGB - RYGB,-0.7083547548426234,0.3020991339749727,Inf,-1.4296883026859482,0.01297879300070126,0.056035068564732615,FALSE
6–12m,SMMI,SG - OAGB,-0.16164311410607338,0.04362732301169229,Inf,-0.26581372617256754,-0.057472502039579224,6.338156358922653e-4,TRUE
